col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,resetCost-int,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,preNode-int[],upgradeToken-int[]
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","67,593#598#1184,10000","1,2,3",talentTree-14,14,1,2,1, 농사 숙련도 2,0,1,900,1,13,0
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","68,596#599#1188,10000","1,2,3",talentTree-15,15,1,3,1, 농사 숙련도 3,10000,1,1800,2,14,500
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","69,594#600#1190,10000","1,2,3",talentTree-16,16,1,4,1, 농사 숙련도 4,20000,1,3600,3,15,2500
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","70,601#587#1185,10000","1,2,3",talentTree-17,17,1,5,1, 농사 숙련도 5,30000,1,7200,4,16,5000
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","71,602#586#1189,10000","1,2,3",talentTree-18,18,1,6,1, 농사 숙련도 6,40000,1,14400,5,17,8000
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","72,620#617#1187,10000","1,2,3",talentTree-19,19,1,7,1, 농사 숙련도 7,50000,1,28800,6,18,11500
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","73,624#621#1186,10000","1,2,3",talentTree-20,20,1,8,1, 농사 숙련도 8,60000,1,57600,7,19,15500
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","74,625#616#1191,10000","1,2,3",talentTree-21,21,1,9,1, 농사 숙련도 9,70000,1,115200,8,20,20000
1,FertilityCapacity + 1,228,1,talentTree-22,22,0,1,1, 농사 - 비옥도 용량,0,1,95,0,,0
-1,Waters small fields around you.,99,0,talentTree-23,23,0,2,1, 물뿌리개 숙련도,0,1,210,0,77,0
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Gather Fitness: Converts gather proficiency to combat defense and health in a certain proportion, effective when wearing the gather tools
Unlock Energy Recipes","81#530,267#605,10000","1,2,3",talentTree-24,24,1,1,1, 채집 숙련도 1,0,3,450,0,,0
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","82,268#606,10000","1,2,3",talentTree-25,25,1,2,1, 채집 숙련도 2,0,3,900,1,24,0
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","83,269#607,10000","1,2,3",talentTree-26,26,1,3,1, 채집 숙련도 3,10000,3,1800,2,25,500
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","84,382#608,10000","1,2,3",talentTree-27,27,1,4,1, 채집 숙련도 4,20000,3,3600,3,26,2500
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","85,383#609,10000","1,2,3",talentTree-28,28,1,5,1, 채집 숙련도 5,30000,3,7200,4,27,5000
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","86,384#610,10000","1,2,3",talentTree-29,29,1,6,1, 채집 숙련도 6,40000,3,14400,5,28,8000
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","87,623#611,10000","1,2,3",talentTree-30,30,1,7,1, 채집 숙련도 7,50000,3,28800,6,29,11500
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","88,618#612,10000","1,2,3",talentTree-31,31,1,8,1, 채집 숙련도 8,60000,3,57600,7,30,15500
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","89,622#613,10000","1,2,3",talentTree-32,32,1,9,1, 채집 숙련도 9,70000,3,115200,8,31,20000
-3,Unlock LV 1 Equipment Set Recipes,70#74#201;111#178;177#179#180,2,talentTree-33,33,0,1,3, 채집 세트 레시피,0,3,"131,131,131",0,,"0,0,0"
-3,"Unlock LV 2 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",71#75#203;112#182;181#183#184#480#468#477#461#478#465#476#474#956#960#963#969#971#972#973#975,2,talentTree-34,34,0,2,3, 채집 세트 레시피,0,3,"262,262,262",0,33,"0,0,0"
-1,,415,0,talentTree-45,45,0,3,1, 빈 칸,0,1,420,0,23,0
-1,Efficiency Skills - Group Hoe,103,0,talentTree-46,46,0,4,1, 대지 가르기,0,1,840,0,45,1500
2,PlantingProficiency + 4,246,1,talentTree-48,48,0,3,1, 농사 - 심기 숙련도,0,1,420,0,81,0
-2,Unlock Livestock Essence Recipes Lv 2,156,2,talentTree-49,49,0,2,1, 가축 에센스 레시피,0,1,210,0,72,0
2,PlantingProficiency + 4,249,1,talentTree-50,50,0,4,1, 농사 - 심기 숙련도,0,1,840,0,48,1500
-1,Increase the enemy's stun duration.,333,1,talentTree-52,52,0,3,1, 짓뭉개기 - 강화,0,2,323,0,10,0
-2,"Charge, push enemies back, 50% damage.",122,0,talentTree-54,54,0,2,1, 돌진,0,2,175,0,,0
-2,Reduce the enemy's movement speed.,336,1,talentTree-55,55,0,3,1, 돌진 - 강화,0,2,323,0,54,0
-2,Reduce the enemy's movement speed.,337,1,talentTree-56,56,0,4,1, 돌진 - 강화,0,2,646,0,55,1500
-2,Repel the enemy in a small area in front of you and flip backwards,123,0,talentTree-57,57,0,5,1, 도망,0,2,1292,0,56,2000
-3,Deal high damage to 5 surrounding monsters,137,0,talentTree-60,60,0,3,1, 약간의 소용돌이,0,2,323,0,,0
-1,Temporarily increase HP Recovery of battle withdrawal based on the percentage of MaxHP,485,0,talentTree-61,61,0,4,1, 치유의 물결,0,2,646,0,52,1500
-3,"Unlock LV 3 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",72#76#204;113#186;185#187#188#483#485#491#486#503#484#504#978#979#980#981#986#997#998#982,2,talentTree-62,62,0,3,3, 채집 세트 레시피,0,3,"525,525,525",0,34,"1500,1500,1500"
-1,Unlock Potion Recipe. ,95#902,2,talentTree-65,65,0,1,1, 마법 소품 레시피,0,3,131,0,,0
-1,Unlock Potion Recipe. ,96#903,2,talentTree-66,66,0,2,1, 마법 소품 레시피,0,3,262,0,65,0
-1,Unlock Potion Recipe. ,132#904,2,talentTree-67,67,0,3,1, 마법 소품 레시피,0,3,525,0,66,1500
-1,Unlock Potion Recipe. ,346#905,2,talentTree-68,68,0,4,1, 마법 소품 레시피,0,3,1050,0,67,1500
-1,Unlock Potion Recipe. ,347#906,2,talentTree-69,69,0,5,1,마법 소품 제작법,0,3,2100,0,68,2000
-3,Reduce the enemy's movement speed.,340,1,talentTree-70,70,0,4,1, 가벼운 소낙눈 - 강화,0,2,646,0,60,1500
-1,Increase the enemy's stun duration.,334,1,talentTree-71,71,0,5,1, 전쟁의 짓밟기 - 강화,0,2,1292,0,61,2000
-2,Unlock Livestock Essence Recipes Lv 1,155,2,talentTree-72,72,0,1,1, 가축 에센스 제작법,0,1,95,0,,0
2,PlantingProficiency + 4,230,1,talentTree-73,73,0,1,1, 농사 - 심기 숙련도,0,1,95,0,,0
3,PetHappinessCapacity + 1,231,1,talentTree-74,74,0,1,1, 농사 - 애완동물 행복도 용량,0,1,95,0,,0
4,BreedingProficiency + 4,233,1,talentTree-76,76,0,1,1, 농사 - 번식 숙련도,0,1,95,0,,0
-1,Efficiency Skills - Group Hoe,102,0,talentTree-77,77,0,1,1, 대지 가르기,0,1,95,0,,0
-4,Unlock LV 1 Equipment Set Recipes,62#376#66#123#125#124#205;108#165;166#167#168,2,talentTree-78,78,0,1,3, 농사 세트 제작법,0,1,"95,95,95",0,,"0,0,0"
-4,"Unlock LV 2 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",63#377#67#127#128#126#206;109#169;170#171#172#462#460#463#472#466#481#475#473#955#957#958#961#967#968#970#976,2,talentTree-79,79,0,2,3, 농사 세트 제작법,0,1,"210,210,210",0,78,"0,0,0"
1,FertilityCapacity + 1,229,1,talentTree-80,80,0,2,1, 농사 - 토지 당 비옥도 출력,0,1,210,0,22,0
2,PlantingProficiency + 4,245,1,talentTree-81,81,0,2,1, 농사 - 심기 숙련도,0,1,210,0,73,0
3,PetHappinessCapacity + 1,232,1,talentTree-82,82,0,2,1, 농사 - 수확 숙련도,0,1,210,0,74,0
4,BreedingProficiency + 4,247,1,talentTree-83,83,0,2,1, 농사 - 애완동물 단위 출력 행복 지수,0,1,210,0,76,0
1,FertilityCapacity + 1,236,1,talentTree-84,84,0,4,1, 농사 - 비옥도 용량,0,1,840,0,93,1500
4,BreedingProficiency + 4,289,1,talentTree-85,85,0,5,1, 농사 - 번식 숙련도,0,1,1680,0,90,2000
-4,"Unlock LV 3 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",64#378#68#131#130#129#920;110#173;174#175#176#487#506#505#501#490#499#500#580#488#983#985#994#995#996#999#1000#1071,2,talentTree-88,88,0,3,3, 농사 세트 제작법,0,1,"420,420,420",0,79,"1500,1500,1500"
3,PetHappinessCapacity + 1,282,1,talentTree-89,89,0,4,1, 농사 - 애완동물 행복도 용량,0,1,840,0,92,1500
4,BreedingProficiency + 4,288,1,talentTree-90,90,0,4,1, 농사 - 번식 숙련도,0,1,840,0,91,1500
4,BreedingProficiency + 4,248,1,talentTree-91,91,0,3,1, 농사 - 번식 숙련도,0,1,420,0,83,0
3,PetHappinessCapacity + 1,244,1,talentTree-92,92,0,3,1, 농사 - 애완동물 행복도 용량,0,1,420,0,82,0
1,FertilityCapacity + 1,235,1,talentTree-93,93,0,3,1, 농사 - 비옥도 용량,0,1,420,0,80,0
-2,Unlock Livestock Essence Recipes Lv 3,157,2,talentTree-94,94,0,3,1, 가축 에센스 제작법,0,1,420,0,49,750
-5,Unlock LV 1 Equipment Set Recipes,44#364#370;133#136;139#142#145,2,talentTree-95,95,0,1,3, 전투 세트 제작법,0,2,"95,95,95",0,,"0,0,0"
4,Combat MaxHP +20,264,1,talentTree-96,96,0,1,1, 전투 - 체력,0,2,95,0,,0
3,Combat DEF +5,258,1,talentTree-97,97,0,1,1, 전투 - 방어력,0,2,95,0,,0
2,Combat ATK +5,252,1,talentTree-98,98,0,1,1, 전투 - 공격력,0,2,95,0,,0
1,Increase speed by 10%/20%/30%.,116;117;118,1,talentTree-99,99,0,1,3, 전문가,0,2,"95,95,95",0,,"0,0,0"
4,Combat MaxHP +20,265,1,talentTree-100,100,0,2,1, 전투 - 체력,0,2,175,0,96,0
-5,"Unlock LV 2 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",45#365#371;134#137;140#143#146#479#469#470#464#471#482#467#579#959#962#964#965#966#974#977#1070,2,talentTree-101,101,0,2,3, 전투 세트 제작법,0,2,"175,175,175",0,95,"0,0,0"
3,Combat DEF +5,259,1,talentTree-102,102,0,2,1, 전투 - 방어력,0,2,175,0,97,0
2,Combat ATK +5,253,1,talentTree-103,103,0,2,1, 전투 - 공격력,0,2,175,0,98,0
1,CombatHit + 2/4/6%,134;135;136,1,talentTree-104,104,0,2,3, 전문가,0,2,"175,175,175",0,99,"0,0,0"
-5,"Unlock LV 3 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",46#366#372;135#138;141#144#147#497#495#494#498#489#496#492#493#984#987#988#989#990#991#992#993,2,talentTree-105,105,0,3,3, 전투 세트 제작법,0,2,"323,323,323",0,101,"1500,1500,1500"
3,Combat DEF +5,260,1,talentTree-106,106,0,3,1, 전투 - 방어력,0,2,323,0,102,0
2,Combat ATK +5,254,1,talentTree-107,107,0,3,1, 전투 - 공격력,0,2,323,0,103,0
1,Gain a 2/4/6% dodge rate,125;126;127,1,talentTree-108,108,0,3,3, 전문가,0,2,"323,323,323",0,104,"0,0,0"
4,Combat MaxHP +20,266,1,talentTree-109,109,0,3,1, 전투 - 체력,0,2,323,0,100,0
3,Combat DEF +5,261,1,talentTree-111,111,0,4,1, 전투 - 방어력,0,2,646,0,106,1500
1,"Every 20/10/5 seconds, if you haven't taken any damage, you gain a 10% damage boost.",119;120;121,1,talentTree-112,112,0,4,3, 전문가,0,2,"646,646,646",0,108,"1500,1500,1500"
2,Combat ATK +5,255,1,talentTree-113,113,0,4,1, 전투 - 공격력,0,2,646,0,107,1500
4,Combat MaxHP +20,267,1,talentTree-114,114,0,4,1, 전투 - 체력,0,2,646,0,109,1500
3,Combat DEF +5,262,1,talentTree-116,116,0,5,1, 전투 - 방어력,0,2,1292,0,111,2000
2,Combat ATK +5,256,1,talentTree-117,117,0,5,1, 전투 - 공격력,0,2,1292,0,113,2000
1,Increase Critical Hit Probability by 5/10/15%,60;61;62,1,talentTree-118,118,0,5,3, 전문가,0,2,"1292,1292,1292",0,112,"2000,2000,2000"
-3,Reduce the enemy's movement speed.,341,1,talentTree-119,119,0,5,1, 가벼운 소낙눈 - 강화,0,2,1292,0,70,2000
4,Combat MaxHP +20,268,1,talentTree-120,120,0,5,1, 전투 - 체력,0,2,1292,0,114,2000
-1,Reduce the enemy's movement speed.,335,1,talentTree-122,122,0,6,1, 전쟁의 짓밟기 - 강화,0,2,2584,0,71,2500
-2,Reduce the enemy's movement speed.,338,1,talentTree-123,123,0,6,1, 도망 - 강화,0,2,2584,0,57,2500
1,Increase crit damage to monsters by 10/20/30%.,113;114;115,1,talentTree-124,124,0,6,3, 전문가,0,2,"2584,2584,2584",0,118,"2500,2500,2500"
-3,Forward thrust,487,0,talentTree-125,125,0,6,1,폭발 기술,0,2,2584,0,119,2500
-1,Defeat a large area of enemies in front of you and cause temporary dizziness,459,0,talentTree-127,127,0,7,1, 소탕,0,2,5169,0,122,3000
-2,Reduce the enemy's movement speed.,339,1,talentTree-128,128,0,7,1, 탈출 - 강화,0,2,5169,0,123,3000
-3,Reduce the enemy's movement speed.,342,1,talentTree-129,129,0,7,1, 폭발 기술 - 강화,0,2,5169,0,125,3000
1,Attack speed increased by 10/20/30%.,131;132;133,1,talentTree-130,130,0,7,3, 전문가,0,2,"5169,5169,5169",0,124,"3000,3000,3000"
2,Combat ATK +5,257,1,talentTree-131,131,0,6,1, 전투 - 공격력,0,2,2584,0,117,2500
3,Combat DEF +5,263,1,talentTree-132,132,0,6,1, 전투 - 방어력,0,2,2584,0,116,2500
4,Combat MaxHP +20,269,1,talentTree-133,133,0,6,1, 전투 - 체력,0,2,2584,0,120,2500
2,Combat ATK +5,270,1,talentTree-134,134,0,7,1, 전투 - 공격력,0,2,5169,0,131,3000
3,Combat DEF +5,273,1,talentTree-135,135,0,7,1, 전투 - 방어력,0,2,5169,0,132,3000
4,Combat MaxHP +20,276,1,talentTree-136,136,0,7,1, 전투 - 체력,0,2,5169,0,133,3000
-2,Deals multiple damage to nearby enemies,558,0,talentTree-139,139,0,8,1, 천둥번개,0,2,11200,0,128,3500
-3,Reduce the enemy's movement speed.,343,1,talentTree-140,140,0,8,1, 폭발 기술 - 강화,0,2,11200,0,129,3500
1,0.1/0.2/0.3% damage bonus per 1% health lost.,128;129;130,1,talentTree-141,141,0,8,3, 전문가,0,2,"11200,11200,11200",0,130,"3500,3500,3500"
2,Combat ATK +5,271,1,talentTree-142,142,0,8,1, 전투 - 공격력,0,2,11200,0,134,3500
3,Combat DEF +5,274,1,talentTree-143,143,0,8,1, 전투 - 방어력,0,2,11200,0,135,3500
4,Combat MaxHP +20,277,1,talentTree-144,144,0,8,1, 전투 - 체력,0,2,11200,0,136,3500
-3,,432,0,talentTree-149,149,0,9,1, 고무,0,2,24436,0,140,4000
2,Combat ATK +5,272,1,talentTree-150,150,0,9,1, 전투 - 공격력,0,2,24436,0,142,4000
1,"The weapon's attack leaves wounds, dealing 1%/2%/3% attack damage every 0.5 seconds for 5 seconds.",172;173;174,1,talentTree-151,151,0,9,3, 전문가,0,2,"24436,24436,24436",0,141,"4000,4000,4000"
3,Combat DEF +5,275,1,talentTree-152,152,0,9,1, 전투 - 방어력,0,2,24436,0,143,4000
4,Combat MaxHP +20,278,1,talentTree-153,153,0,9,1, 전투 - 체력,0,2,24436,0,144,4000
-1,Waters small fields around you.,100,0,talentTree-157,157,0,5,1, 물뿌리개 숙련도,0,1,1680,0,46,2000
1,FertilityCapacity + 1,237,1,talentTree-158,158,0,5,1, 농장 - 비옥도 용량,0,1,1680,0,84,2000
2,PlantingProficiency + 4,250,1,talentTree-159,159,0,5,1, 농장 - 심기 숙련도,0,1,1680,0,50,2000
3,PetHappinessCapacity + 1,283,1,talentTree-160,160,0,5,1, 농장 - 애완동물 행복도 용량,0,1,1680,0,89,2000
1,FertilityCapacity + 1,238,1,talentTree-163,163,0,6,1, 농장 - 비옥도 용량,0,1,3360,0,158,2500
3,PetHappinessCapacity + 1,284,1,talentTree-164,164,0,6,1, 농장 - 애완동물 행복도 용량,0,1,3360,0,160,2500
2,PlantingProficiency + 4,251,1,talentTree-165,165,0,6,1, 농장 - 심기 숙련도,0,1,3360,0,159,2500
4,BreedingProficiency + 4,290,1,talentTree-166,166,0,6,1, 농장 - 번식 숙련도,0,1,3360,0,85,2500
-1,Efficiency Skills - Group Hoe,104,0,talentTree-169,169,0,6,1, 대지 분할,0,1,3360,0,157,2500
1,FertilityCapacity + 1,239,1,talentTree-170,170,0,7,1, 농장 - 비옥도 용량,0,1,6720,0,163,3000
2,PlantingProficiency + 4,279,1,talentTree-171,171,0,7,1, 농장 - 심기 숙련도,0,1,6720,0,165,3000
3,PetHappinessCapacity + 1,285,1,talentTree-172,172,0,7,1, 농장 - 애완동물 행복도 용량,0,1,6720,0,164,3000
4,BreedingProficiency + 4,291,1,talentTree-173,173,0,7,1, 농장 - 번식 숙련도,0,1,6720,0,166,3000
-1,Waters small fields around you.,101,0,talentTree-176,176,0,8,1, 물뿌리개 숙련도,0,1,13440,0,298,3500
2,PlantingProficiency + 4,280,1,talentTree-177,177,0,8,1, 농장 - 심기 숙련도,0,1,13440,0,171,3500
1,FertilityCapacity + 1,240,1,talentTree-178,178,0,8,1, 농장 - 비옥도 용량,0,1,13440,0,170,3500
3,PetHappinessCapacity + 1,286,1,talentTree-179,179,0,8,1, 농장 - 애완동물 행복도 용량,0,1,13440,0,172,3500
4,BreedingProficiency + 4,292,1,talentTree-180,180,0,8,1, 농장 - 번식 숙련도,0,1,13440,0,173,3500
1,FertilityCapacity + 1,241,1,talentTree-184,184,0,9,1, 농장 - 비옥도 용량,0,1,26880,0,178,4000
2,PlantingProficiency + 4,281,1,talentTree-185,185,0,9,1, 농장 - 심기 숙련도,0,1,26880,0,177,4000
3,PetHappinessCapacity + 1,287,1,talentTree-186,186,0,9,1, 농장 - 애완동물 행복도 용량,0,1,26880,0,179,4000
4,BreedingProficiency + 4,293,1,talentTree-187,187,0,9,1, 농장 - 번식 숙련도,0,1,26880,0,180,4000
1,Gather Grass Atk ++  Proficiency ++,294,1,talentTree-188,188,0,1,1, 풀 채집,0,3,131,0,,0
2,Gather Tree Atk ++  Proficiency ++,303,1,talentTree-189,189,0,1,1, 나무 채집 가치,0,3,131,0,,0
3,Gather Ore Atk ++  Proficiency ++,312,1,talentTree-190,190,0,1,1, 광물 채집 가치,0,3,131,0,,0
1,Gather Grass Atk ++  Proficiency ++,295,1,talentTree-191,191,0,2,1, 풀 채집,0,3,262,0,188,0
2,Gather Tree Atk ++  Proficiency ++,304,1,talentTree-192,192,0,2,1, 나무 채집,0,3,262,0,189,0
3,Gather Ore Atk ++  Proficiency ++,313,1,talentTree-193,193,0,2,1, 광물 채집 가치,0,3,262,0,190,0
1,Gather Grass Atk ++  Proficiency ++,296,1,talentTree-194,194,0,3,1,수확 - 풀,0,3,525,0,191,0
2,Gather Tree Atk ++  Proficiency ++,305,1,talentTree-195,195,0,3,1, 수확 - 나무,0,3,525,0,192,0
3,Gather Ore Atk ++  Proficiency ++,314,1,talentTree-196,196,0,3,1, 수확 - 채굴,0,3,525,0,193,0
1,Gather Grass Atk ++  Proficiency ++,297,1,talentTree-197,197,0,4,1, 수확 - 풀,0,3,1050,0,194,1500
2,Gather Tree Atk ++  Proficiency ++,306,1,talentTree-198,198,0,4,1, 수확 - 나무,0,3,1050,0,195,1500
3,Gather Ore Atk ++  Proficiency ++,315,1,talentTree-199,199,0,4,1, 수확 값 - 채굴,0,3,1050,0,196,1500
1,Gather Grass Atk ++  Proficiency ++,298,1,talentTree-200,200,0,5,1, 수확 - 풀,0,3,2100,0,197,2000
2,Gather Tree Atk ++  Proficiency ++,307,1,talentTree-201,201,0,5,1, 수확 값 - 나무,0,3,2100,0,198,2000
3,Gather Ore Atk ++  Proficiency ++,316,1,talentTree-202,202,0,5,1, 수확 - 채굴,0,3,2100,0,199,2000
-1,Unlock Potion Recipe. ,348#907,2,talentTree-204,204,0,6,1, 마법 아이템 레시피,0,3,4200,0,69,2500
1,Gather Grass Atk ++  Proficiency ++,299,1,talentTree-205,205,0,6,1, 수확 - 풀 값,0,3,4200,0,200,2500
2,Gather Tree Atk ++  Proficiency ++,308,1,talentTree-206,206,0,6,1, 수확 - 나무,0,3,4200,0,201,2500
3,Gather Ore Atk ++  Proficiency ++,317,1,talentTree-207,207,0,6,1, 수확 값 - 채굴,0,3,4200,0,202,2500
-1,Unlock Potion Recipe. ,895#908,2,talentTree-209,209,0,7,1, 아직 열리지 않음,0,3,8400,0,204,3000
1,Gather Grass Atk ++  Proficiency ++,300,1,talentTree-210,210,0,7,1, 수확 - 풀,0,3,8400,0,205,3000
2,Gather Tree Atk ++  Proficiency ++,309,1,talentTree-211,211,0,7,1, 수확 - 나무,0,3,8400,0,206,3000
3,Gather Ore Atk ++  Proficiency ++,318,1,talentTree-212,212,0,7,1, 수확 - 채굴,0,3,8400,0,207,3000
-1,Unlock Potion Recipe. ,896#909,2,talentTree-214,214,0,8,1, 아직 열리지 않음,0,3,16800,0,209,3500
2,Gather Tree Atk ++  Proficiency ++,310,1,talentTree-215,215,0,8,1, 수확 - 나무,0,3,16800,0,211,3500
1,Gather Grass Atk ++  Proficiency ++,301,1,talentTree-216,216,0,8,1, 수확 - 풀,0,3,16800,0,210,3500
3,Gather Ore Atk ++  Proficiency ++,319,1,talentTree-217,217,0,8,1, 수확 - 채굴,0,3,16800,0,212,3500
-1,Unlock Potion Recipe. ,897#910,2,talentTree-219,219,0,9,1, 아직 열리지 않음,0,3,33600,0,214,4000
1,Gather Grass Atk ++  Proficiency ++,302,1,talentTree-220,220,0,9,1, 수확 - 풀,0,3,33600,0,216,4000
2,Gather Tree Atk ++  Proficiency ++,311,1,talentTree-221,221,0,9,1, 수확 - 나무,0,3,33600,0,215,4000
3,Gather Ore Atk ++  Proficiency ++,320,1,talentTree-222,222,0,9,1, 수확 - 채굴,0,3,33600,0,217,4000
-3,Unlock Planting Essence Recipes Lv 1,152,2,talentTree-227,227,0,1,1, 심기 에센스 레시피,0,1,95,0,,0
-3,Unlock Planting Essence Recipes Lv 2,153,2,talentTree-228,228,0,2,1, 심기 에센스 레시피,0,1,210,0,227,0
-3,Unlock Planting Essence Recipes Lv 3,154,2,talentTree-229,229,0,3,1, 심기 에센스 레시피,0,1,420,0,228,750
-4,Unlock Essence Recipes Lv 1,149,2,talentTree-236,236,0,1,1, 전투 에센스 레시피,0,2,95,0,,0
-4,Unlock Essence Recipes Lv 2,150,2,talentTree-237,237,0,2,1, 전투 에센스 레시피,0,2,175,0,236,0
-4,Unlock Essence Recipes Lv 3,151,2,talentTree-238,238,0,3,1, 전투 에센스 레시피,0,2,323,0,237,1500
